name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Mahindra Scorpio SLE BSIII,2009,27500,100000,Diesel,Individual,Manual,First Owner
Skoda Rapid 1.6 MPI AT Elegance Plus,2015,30000,70000,Petrol,Individual,Automatic,First Owner
Maruti Alto 800 VXI,2018,9750,5000,Petrol,Individual,Manual,First Owner
Tata Nano LX,2013,2900,27974,Petrol,Individual,Manual,First Owner
Maruti Alto 800 VXI,2018,9150,40000,Petrol,Individual,Manual,First Owner
Maruti Zen Estilo 1.1 VXI BSIII,2007,4750,80000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LX Minor,2013,12500,38000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LX Minor,2013,12500,38000,Petrol,Individual,Manual,First Owner
Tata Zest Revotron 1.2 XT,2014,20000,35000,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 SX CRDi (O),2012,20499.95,60000,Diesel,Individual,Manual,Second Owner
Skoda Octavia Classic 1.9 TDI MT,2004,6000,120000,Diesel,Individual,Manual,Second Owner
Maruti Swift AMT VXI,2018,30000,18000,Petrol,Individual,Automatic,First Owner
Honda Amaze SX i-VTEC,2016,30000,10000,Petrol,Individual,Manual,First Owner
Mahindra XUV500 W6 2WD,2015,41250,90000,Diesel,Individual,Manual,Third Owner
Toyota Etios GD,2016,31250,80000,Diesel,Individual,Manual,Second Owner
Hyundai Grand i10 Nios Magna CRDi,2020,35000,1400,Diesel,Individual,Manual,First Owner
Chevrolet Beat LS,2011,8000,60000,Petrol,Individual,Manual,First Owner
Maruti Alto LX,2011,5749.95,60000,Petrol,Individual,Manual,Third Owner
Maruti Wagon R LXI Minor,2009,7500,53000,Petrol,Individual,Manual,First Owner
Volkswagen Jetta 1.9 L TDI,2010,12500,100000,Diesel,Dealer,Manual,First Owner
Hyundai Verna 1.6 SX,2012,19500,86000,Diesel,Dealer,Manual,Second Owner
Renault Duster 85PS Diesel RxL,2015,32500,100000,Diesel,Individual,Manual,First Owner
Hyundai Xcent 1.1 CRDi SX Option,2016,30000,30000,Diesel,Individual,Manual,First Owner
Hyundai i20 1.2 Sportz,2011,12500,120000,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing GL Plus LPG,2011,11499.95,60000,LPG,Individual,Manual,Second Owner
Maruti Ritz LDi,2016,14950,50000,Diesel,Individual,Manual,Second Owner
Chevrolet Cruze LTZ,2010,16500,124000,Diesel,Individual,Manual,Second Owner
Hyundai Accent Executive,2012,9000,100000,Petrol,Individual,Manual,Third Owner
Hyundai Grand i10 1.2 Kappa Asta,2017,23750,42000,Petrol,Individual,Manual,First Owner
Hyundai Grand i10 CRDi Sportz,2015,16250,100000,Diesel,Individual,Manual,First Owner
Honda City i VTEC V,2016,31950,28205,Petrol,Dealer,Manual,First Owner
Maruti Celerio VXI AT,2017,20750,32670,Petrol,Dealer,Automatic,First Owner
Hyundai Creta 1.6 CRDi AT SX Plus,2016,59950,30093,Diesel,Dealer,Automatic,First Owner
Maruti Ertiga VXI CNG,2013,26250,56228,CNG,Dealer,Manual,First Owner
Hyundai Verna 1.6 SX VTVT,2013,21250,59319,Petrol,Dealer,Manual,First Owner
Maruti Vitara Brezza VDi,2016,34950,39503,Diesel,Dealer,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2013,16250,35299,Petrol,Dealer,Manual,First Owner
Toyota Etios V,2011,13750,51687,Petrol,Dealer,Manual,First Owner
Volkswagen Vento Petrol Highline AT,2011,13450,76259,Petrol,Dealer,Automatic,First Owner
Volkswagen Polo Diesel Highline 1.2L,2013,19950,44049,Diesel,Dealer,Manual,First Owner
Mahindra KUV 100 mFALCON D75 K8,2017,23750,45087,Diesel,Dealer,Manual,First Owner
Toyota Etios V,2011,12450,41125,Petrol,Dealer,Manual,First Owner
Audi A4 New  2.0 TDI Multitronic,2014,77450,42215,Diesel,Dealer,Automatic,First Owner
Volkswagen Polo Petrol Highline 1.2L,2011,12749.95,54206,Petrol,Dealer,Manual,First Owner
Skoda Rapid 1.6 MPI Active,2012,13450,52547,Petrol,Dealer,Manual,First Owner
Maruti Ertiga ZDI,2014,33250,59110,Diesel,Dealer,Manual,First Owner
Maruti Wagon R Stingray LXI,2014,14950,54565,Petrol,Dealer,Manual,First Owner
Hyundai i20 Asta,2010,13250,47564,Petrol,Dealer,Manual,Second Owner
Volkswagen Polo Petrol Highline 1.2L,2010,10550,45143,Petrol,Dealer,Manual,Second Owner
Skoda Superb 1.8 TSI,2013,29950,61624,Petrol,Dealer,Automatic,Second Owner
Tata Indigo LS,2007,2750,195000,Diesel,Individual,Manual,Third Owner
Hyundai Verna 1.6 SX CRDi (O),2014,27500,50000,Diesel,Individual,Manual,First Owner
Land Rover Discovery Sport TD4 HSE 7S,2018,200000,68000,Diesel,Individual,Automatic,First Owner
Tata Sumo GX TC 8 Str,2010,11000,120000,Diesel,Individual,Manual,Second Owner
Maruti Swift VXI,2019,25000,20000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2010,7000,30000,Petrol,Individual,Manual,First Owner
Maruti Swift VDI,2013,16250,60000,Diesel,Individual,Manual,First Owner
Hyundai i20 Magna,2010,10500,90000,Petrol,Individual,Manual,Third Owner
Maruti Alto LXi,2008,5500,90000,Petrol,Individual,Manual,Second Owner
Hyundai Verna CRDi 1.6 SX Option,2019,60000,25000,Diesel,Individual,Manual,First Owner
Maruti Alto 800 VXI,2017,11499.95,40000,Petrol,Individual,Manual,First Owner
Maruti SX4 Vxi BSIV,2012,11250,110000,Petrol,Individual,Manual,Second Owner
Maruti Alto 800 LXI,2006,8250,132000,Petrol,Individual,Manual,First Owner
Tata Tiago XZA AMT,2018,26250,10980,Petrol,Dealer,Automatic,First Owner
Hyundai EON Era Plus,2018,16250,20629,Petrol,Dealer,Manual,First Owner
Toyota Innova Crysta 2.4 VX MT BSIV,2018,75000,50000,Diesel,Individual,Manual,First Owner
Hyundai Grand i10 AT Asta,2015,20000,30000,Petrol,Individual,Automatic,First Owner
Maruti Ciaz VXi,2015,27500,69782,Petrol,Dealer,Manual,First Owner
Maruti 800 Std,2003,4900,54000,Petrol,Individual,Manual,First Owner
Mahindra XUV500 W8 4WD,2013,45000,63654,Diesel,Dealer,Manual,First Owner
Renault Lodgy 85PS RxL,2017,35000,60000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio S6 Plus 7 Seater,2015,44500,52000,Diesel,Dealer,Manual,First Owner
Maruti Swift LDI BSIV,2015,24500,59385,Diesel,Dealer,Manual,First Owner
Hyundai i20 2015-2017 Magna 1.2,2015,26250,70378,Petrol,Dealer,Manual,First Owner
Maruti Wagon R LXI BS IV,2013,16500,55425,Petrol,Dealer,Manual,First Owner
Mahindra Bolero 2011-2019 SLX 2WD BSIII,2013,27500,78413,Diesel,Dealer,Manual,Second Owner
Mahindra Bolero Power Plus SLX,2018,39500,40890,Diesel,Dealer,Manual,First Owner
Honda Brio S MT,2015,17500,34823,Petrol,Dealer,Manual,Second Owner
Toyota Innova Crysta 2.8 ZX AT BSIV,2017,85000,75000,Diesel,Individual,Automatic,First Owner
Maruti Ciaz VDI SHVS,2017,37500,55545,Diesel,Dealer,Manual,First Owner
Honda Amaze EX i-Dtech,2014,20499.95,56541,Diesel,Dealer,Manual,First Owner
Hyundai EON Magna Plus,2016,11000,43700,Petrol,Individual,Manual,First Owner
Tata Indica GLS BS IV,2009,3400,120000,Petrol,Individual,Manual,Second Owner
Hyundai EON Era Plus,2017,14500,20000,Petrol,Individual,Manual,First Owner
Honda City i DTec SV,2014,30000,27483,Diesel,Dealer,Manual,First Owner
Maruti Swift LXI,2019,23500,8000,Petrol,Individual,Manual,First Owner
Hyundai i10 Sportz 1.2,2008,7500,30000,Petrol,Individual,Manual,First Owner
Maruti Alto 800 LXI,2014,9000,56207,Petrol,Dealer,Manual,Second Owner
Maruti Zen LXI,2006,4000,70000,Petrol,Individual,Manual,First Owner
Honda WR-V i-VTEC VX,2018,43750,1440,Petrol,Individual,Manual,First Owner
Maruti Alto 800 LXI,2019,15000,50000,Petrol,Individual,Manual,First Owner
Toyota Fortuner 2.8 2WD AT BSIV,2017,140000,20000,Diesel,Individual,Automatic,First Owner
Toyota Innova Crysta 2.4 ZX MT,2017,66500,91195,Diesel,Dealer,Manual,First Owner
Volkswagen Polo 1.5 TDI Trendline,2011,11000,63657,Diesel,Dealer,Manual,First Owner
Mahindra Verito Vibe 1.5 dCi D4,2013,12500,60000,Diesel,Individual,Manual,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,45999.95,75000,Diesel,Dealer,Manual,First Owner
Volkswagen Vento Magnific 1.6 Highline,2013,19000,97248,Petrol,Dealer,Manual,First Owner
Maruti Swift VDI,2012,22500,46000,Diesel,Individual,Manual,First Owner
Hyundai Verna 1.6 VTVT AT S Option,2016,38500,10000,Petrol,Individual,Automatic,First Owner
Maruti Swift Dzire LDI,2018,27500,80000,Diesel,Individual,Manual,First Owner
Tata New Safari DICOR 2.2 GX 4x2,2011,16000,100000,Diesel,Individual,Manual,Second Owner
Maruti SX4 Vxi BSIV,2013,20000,35000,Petrol,Individual,Manual,First Owner
Maruti Celerio VXI AT,2017,22500,50000,Petrol,Individual,Automatic,First Owner
Maruti SX4 ZDI,2011,11000,90000,Diesel,Individual,Manual,Third Owner
Mahindra XUV500 W8 2WD,2012,20000,150000,Diesel,Individual,Manual,Second Owner
Hyundai Verna 1.6 SX VTVT (O),2013,26500,89000,Petrol,Individual,Manual,Second Owner
Maruti Swift Dzire VDI,2014,19500,60000,Diesel,Individual,Manual,Second Owner
Fiat Grande Punto 1.3 Dynamic (Diesel),2012,9250,100000,Diesel,Individual,Manual,Second Owner
Maruti SX4 Vxi BSIV,2012,15000,100000,Petrol,Individual,Manual,Second Owner
Maruti Swift VDI BSIV,2014,28750,90000,Diesel,Individual,Manual,Second Owner
Maruti Wagon R Stingray VXI,2014,15000,75000,Petrol,Individual,Manual,First Owner
Toyota Etios Liva 1.4 VD,2017,21250,36000,Diesel,Dealer,Manual,First Owner
Hyundai Xcent 1.2 Kappa SX,2016,17500,12000,Petrol,Individual,Manual,First Owner
Honda Amaze VX O iDTEC,2017,27500,12997,Diesel,Dealer,Manual,First Owner
Maruti Ciaz 1.4 AT Zeta,2017,25000,40000,Petrol,Individual,Automatic,First Owner
Mahindra Scorpio S4 4WD,2015,30000,60000,Diesel,Individual,Manual,First Owner
Mahindra Quanto C8,2013,15000,25000,Diesel,Individual,Manual,Second Owner
Hyundai Verna CRDi 1.6 SX Option,2018,57500,26430,Diesel,Dealer,Manual,First Owner
Maruti Swift 1.3 VXI ABS,2015,23750,24600,Petrol,Dealer,Manual,First Owner
Maruti Wagon R LXI,2011,13000,28481,Petrol,Dealer,Manual,First Owner
Ford Ecosport 1.0 Ecoboost Titanium Optional,2013,17500,100000,Petrol,Individual,Manual,First Owner
Mahindra XUV500 W8 2WD,2013,37500,41988,Diesel,Dealer,Manual,First Owner
Maruti Wagon R LXI,2009,9000,30375,Petrol,Dealer,Manual,First Owner
Renault KWID Climber 1.0 AMT BSIV,2017,17500,7658,Petrol,Dealer,Automatic,First Owner
Maruti Swift Dzire VDI,2017,30550,34400,Diesel,Dealer,Manual,First Owner
Renault KWID RXL BSIV,2017,16250,18500,Petrol,Dealer,Manual,First Owner
Hyundai EON 1.0 Era Plus,2012,11250,48000,Petrol,Dealer,Manual,First Owner
Maruti Wagon R AMT VXI,2014,15000,28942,Petrol,Dealer,Automatic,First Owner
Mahindra Bolero Power Plus SLX,2017,20000,50000,Diesel,Individual,Manual,Second Owner
Mahindra XUV500 W8 2WD,2012,35550,53600,Diesel,Dealer,Manual,First Owner
Toyota Innova 2.5 G (Diesel) 8 Seater,2015,42550,53652,Diesel,Dealer,Manual,First Owner
Maruti Ertiga VXI,2014,25000,25000,Petrol,Individual,Manual,First Owner
Toyota Innova 2.5 G4 Diesel 8-seater,2007,12500,80000,Diesel,Individual,Manual,Second Owner
Maruti Alto 800 VXI,2017,7500,50000,Petrol,Individual,Manual,First Owner
Mahindra Scorpio 1.99 S10,2016,30500,15000,Diesel,Individual,Manual,Second Owner
Mahindra KUV 100 G80 K2,2018,22500,5000,Petrol,Individual,Manual,First Owner
Hyundai i20 1.4 Asta Option,2017,37200,106000,Diesel,Individual,Manual,First Owner
Chevrolet Spark 1.0,2008,6000,100000,Petrol,Individual,Manual,Third Owner
Renault KWID RXL,2016,11000,60000,Petrol,Individual,Manual,Third Owner
Maruti Ertiga ZDI,2012,24000,120000,Diesel,Individual,Manual,Fourth & Above Owner
Maruti Celerio ZXI Optional AMT BSIV,2017,18500,82000,Petrol,Individual,Automatic,First Owner
Fiat Palio D 1.9 EL PS,2003,2750,35000,Diesel,Individual,Manual,Second Owner
Hyundai EON Magna Plus,2013,6250,205000,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 CRDI,2011,13000,125000,Diesel,Individual,Manual,Third Owner
Fiat Linea Classic 1.3 Multijet,2015,17500,130000,Diesel,Individual,Manual,First Owner
Maruti Alto 800 CNG LXI,2012,8500,97000,CNG,Individual,Manual,Second Owner
Hyundai Grand i10 Sportz,2015,17500,90000,Petrol,Individual,Manual,Second Owner
Maruti Swift Dzire VXi,2009,12500,60000,Petrol,Individual,Manual,Third Owner
Tata Indigo CR4,2013,8500,60000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio S11 BSIV,2018,65000,35000,Diesel,Individual,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,27500,25000,Petrol,Individual,Manual,First Owner
Honda Brio 1.2 S MT,2017,20000,15000,Petrol,Individual,Manual,First Owner
Tata Nano Lx,2011,6000,20000,Petrol,Individual,Manual,First Owner
Tata Nano Lx,2011,6000,20000,Petrol,Individual,Manual,First Owner
Ford Figo Petrol Titanium,2010,13750,70000,Petrol,Individual,Manual,First Owner
Tata Zest Revotron 1.2T XE,2016,14250,90000,Petrol,Individual,Manual,First Owner
Hyundai Creta 1.4 CRDi Base,2016,45000,80000,Diesel,Individual,Manual,First Owner
Mercedes-Benz M-Class ML 350 CDI,2014,125000,79500,Diesel,Individual,Automatic,Second Owner
Hyundai Verna 1.6 SX CRDi (O),2013,31000,70000,Diesel,Individual,Manual,Second Owner
Toyota Innova Crysta 2.4 GX MT 8S BSIV,2018,85000,5000,Diesel,Individual,Manual,First Owner
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2018,32500,15000,Petrol,Individual,Manual,First Owner
Maruti Ertiga VXI,2014,25000,35000,Petrol,Individual,Manual,First Owner
Tata New Safari DICOR 2.2 EX 4x4,2009,12500,120000,Diesel,Individual,Manual,Second Owner
Mahindra Marazzo M4,2018,47500,15000,Diesel,Individual,Manual,Second Owner
Toyota Etios Cross 1.2L G,2015,16000,60000,Petrol,Individual,Manual,First Owner
Renault Duster 110PS Diesel RxZ,2013,22500,120000,Diesel,Individual,Manual,First Owner
Mahindra KUV 100 mFALCON D75 K8 AW,2016,17500,90000,Diesel,Individual,Manual,First Owner
Maruti Swift Dzire VXI,2015,20000,90000,Petrol,Individual,Manual,First Owner
Maruti Omni MPI STD BSIV,2018,10000,10000,Petrol,Individual,Manual,First Owner
Hyundai i20 Asta 1.4 CRDi (Diesel),2009,12500,72000,Diesel,Individual,Manual,Second Owner
Toyota Innova 2.0 GX 8 STR BSIV,2011,27500,197000,Petrol,Individual,Manual,Second Owner
Maruti Zen LXI,1999,4250,70000,Petrol,Individual,Manual,Second Owner
Hyundai Santro LP zipPlus,2001,2600,50000,Petrol,Individual,Manual,Third Owner
Tata Hexa XTA,2017,60000,50000,Diesel,Individual,Automatic,First Owner
Hyundai Verna 1.6 SX VTVT AT,2011,22500,60000,Petrol,Individual,Automatic,Third Owner
Maruti Swift Dzire VXI 1.2 BS IV,2018,30750,40000,Petrol,Individual,Manual,First Owner
Maruti SX4 ZDI Leather,2012,20000,60000,Diesel,Individual,Manual,Second Owner
Tata Nano LX,2013,3000,40000,Petrol,Individual,Manual,First Owner
Maruti Ignis 1.2 Alpha BSIV,2017,25000,9161,Petrol,Individual,Manual,First Owner
Honda Mobilio V i VTEC,2015,30000,45000,Petrol,Individual,Manual,First Owner
Hyundai Getz 1.3 GVS,2010,5500,110000,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing GL Plus,2013,8750,80000,Petrol,Individual,Manual,First Owner
Ford Fiesta Titanium 1.5 TDCi,2011,16250,100000,Diesel,Individual,Manual,Second Owner
Maruti Swift Dzire LDI,2017,21250,90000,Diesel,Individual,Manual,First Owner
Hyundai Accent GLE CNG,2009,8000,70000,CNG,Individual,Manual,Third Owner
Maruti Zen Estilo LXI BSIII,2007,5000,80000,Petrol,Individual,Manual,Third Owner
Maruti Swift Dzire LDI,2014,19500,110000,Diesel,Individual,Manual,Second Owner
Hyundai i20 1.2 Spotz,2017,20000,50000,Petrol,Individual,Manual,First Owner
Tata Tigor 1.2 Revotron XM,2018,25499.95,5000,Petrol,Individual,Manual,First Owner
Hyundai i10 Magna 1.1,2008,7500,90000,Petrol,Individual,Manual,Third Owner
Hyundai Santro Xing GLS,2009,5500,120000,Petrol,Individual,Manual,First Owner
Nissan Sunny Diesel XV,2013,22500,80000,Diesel,Individual,Manual,First Owner
Hyundai i20 1.2 Spotz,2017,20000,38000,Petrol,Individual,Manual,Second Owner
Hyundai Santro Xing GLS,2009,7000,120000,Petrol,Individual,Manual,First Owner
Tata Indigo CR4,2011,6500,90000,Diesel,Individual,Manual,First Owner
Maruti Alto 800 LXI,2017,8000,50000,Petrol,Individual,Manual,First Owner
Maruti Alto 800 LXI,2016,7500,60000,Petrol,Individual,Manual,First Owner
Mahindra XUV500 W8 2WD,2013,25000,100000,Diesel,Individual,Manual,Second Owner
Tata Nano Std,2011,2000,19000,Petrol,Individual,Manual,First Owner
Chevrolet Tavera LT L1 7 Seats BSIII,2006,7000,200000,Diesel,Individual,Manual,Third Owner
Mahindra Verito 1.5 D2 BSIV,2015,11350,70000,Diesel,Individual,Manual,Second Owner
Maruti Swift VDI,2011,14250,50000,Diesel,Individual,Manual,Second Owner
Maruti Alto LX,2012,7750,19077,Petrol,Individual,Manual,Second Owner
Hyundai EON D Lite,2016,10500,30000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2009,7000,80000,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 GX (Diesel) 7 Seater,2015,47000,128000,Diesel,Individual,Manual,First Owner
Nissan Terrano XV Premium 110 PS,2013,37500,80000,Diesel,Individual,Manual,First Owner
Maruti Baleno Alpha 1.3,2016,30500,100000,Diesel,Individual,Manual,First Owner
Nissan Sunny XV D Premium Leather,2015,22500,50000,Diesel,Individual,Manual,First Owner
Toyota Etios Liva GD,2012,20499.95,56000,Diesel,Individual,Manual,First Owner
Hyundai EON 1.0 Era Plus,2018,5000,21302,Petrol,Individual,Manual,First Owner
Renault KWID 1.0 RXT Optional,2018,15000,10500,Petrol,Individual,Manual,First Owner
Mahindra Bolero 2011-2019 SLX,2013,20000,107000,Diesel,Individual,Manual,First Owner
Hyundai i10 Sportz 1.2,2010,10500,60000,Petrol,Individual,Manual,Second Owner
Hyundai Santro Xing XG eRLX Euro III,2006,4500,120000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R LXI BS IV,2010,11100,70000,Petrol,Individual,Manual,First Owner
Maruti Alto 800 LXI,2015,12000,50000,Petrol,Individual,Manual,Second Owner
Toyota Etios Liva GD,2013,22500,70000,Diesel,Individual,Manual,Second Owner
Renault Duster 85PS Diesel RxL,2013,22500,1000,Diesel,Dealer,Manual,Second Owner
Mercedes-Benz C-Class Progressive C 220d,2018,190000,10000,Diesel,Dealer,Automatic,First Owner
Audi A4 3.0 TDI Quattro,2013,79000,86000,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,2019,247500,30000,Diesel,Dealer,Automatic,First Owner
Hyundai Creta 1.6 CRDi SX,2016,26750,52600,Diesel,Individual,Manual,First Owner
Maruti SX4 Vxi BSIV,2012,11250,110000,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 1.2 Kappa Magna AT,2017,27500,19890,Petrol,Dealer,Automatic,First Owner
Maruti Swift ZXI BSIV,2016,33500,7104,Petrol,Trustmark Dealer,Manual,First Owner
Maruti Ertiga VXI,2015,31250,11918,Petrol,Trustmark Dealer,Manual,First Owner
Hyundai Grand i10 Magna AT,2017,26000,10510,Petrol,Dealer,Automatic,First Owner
Chevrolet Beat LT Option,2016,11950,41000,Petrol,Dealer,Manual,First Owner
Toyota Fortuner 4x2 AT,2017,130000,47162,Diesel,Trustmark Dealer,Automatic,First Owner
Maruti S-Cross Zeta DDiS 200 SH,2015,37500,45974,Diesel,Trustmark Dealer,Manual,First Owner
Hyundai i10 Magna,2012,11499.95,49824,Petrol,Dealer,Manual,First Owner
Audi A6 2.0 TDI Premium Plus,2013,65000,58500,Diesel,Dealer,Automatic,First Owner
Hyundai Santro GS,2005,4000,56580,Petrol,Dealer,Manual,First Owner
Skoda Laura Ambiente 2.0 TDI CR MT,2012,19250,52000,Diesel,Dealer,Manual,First Owner
Hyundai Verna 1.6 VTVT SX,2015,38000,55340,Petrol,Trustmark Dealer,Manual,First Owner
Maruti Swift Dzire VDI,2017,30000,46507,Diesel,Trustmark Dealer,Manual,First Owner
Renault Duster 85PS Diesel RxL,2013,22500,1000,Diesel,Dealer,Manual,Second Owner
Mercedes-Benz C-Class Progressive C 220d,2018,190000,10000,Diesel,Dealer,Automatic,First Owner
Audi A4 3.0 TDI Quattro,2013,79000,86000,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,2019,247500,30000,Diesel,Dealer,Automatic,First Owner
Hyundai Creta 1.6 CRDi SX,2016,26750,52600,Diesel,Individual,Manual,First Owner
Maruti SX4 Vxi BSIV,2012,11250,110000,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 1.2 Kappa Magna AT,2017,27500,19890,Petrol,Dealer,Automatic,First Owner
Maruti Swift ZXI BSIV,2016,33500,7104,Petrol,Trustmark Dealer,Manual,First Owner
Maruti Ertiga VXI,2015,31250,11918,Petrol,Trustmark Dealer,Manual,First Owner
Hyundai Grand i10 Magna AT,2017,26000,10510,Petrol,Dealer,Automatic,First Owner
Chevrolet Beat LT Option,2016,11950,41000,Petrol,Dealer,Manual,First Owner
Toyota Fortuner 4x2 AT,2017,130000,47162,Diesel,Trustmark Dealer,Automatic,First Owner
Maruti S-Cross Zeta DDiS 200 SH,2015,37500,45974,Diesel,Trustmark Dealer,Manual,First Owner
Hyundai i10 Magna,2012,11499.95,49824,Petrol,Dealer,Manual,First Owner
Audi A6 2.0 TDI Premium Plus,2013,65000,58500,Diesel,Dealer,Automatic,First Owner
Hyundai Santro GS,2005,4000,56580,Petrol,Dealer,Manual,First Owner
Skoda Laura Ambiente 2.0 TDI CR MT,2012,19250,52000,Diesel,Dealer,Manual,First Owner
Hyundai Verna 1.6 VTVT SX,2015,38000,55340,Petrol,Trustmark Dealer,Manual,First Owner
Maruti Swift Dzire VDI,2017,30000,46507,Diesel,Trustmark Dealer,Manual,First Owner
Volkswagen Jetta 2.0L TDI Highline AT,2012,36750,55300,Diesel,Dealer,Automatic,First Owner
Tata Indica Vista Quadrajet 90 VX,2012,14250,74300,Diesel,Dealer,Manual,First Owner
Honda City VX MT,2010,17500,48781,Petrol,Dealer,Manual,First Owner
Volkswagen Jetta 1.9 Highline TDI,2010,14500,87620,Diesel,Dealer,Automatic,First Owner
Volkswagen Vento 1.5 TDI Highline Plus AT,2017,44500,40219,Diesel,Dealer,Automatic,First Owner
Honda Jazz VX,2011,19250,11473,Petrol,Dealer,Manual,First Owner
Maruti Eeco 5 Seater AC BSIV,2017,21250,8352,Petrol,Dealer,Manual,First Owner
Maruti Wagon R VXI AMT1.2BSIV,2017,26250,9745,Petrol,Dealer,Automatic,First Owner
Hyundai Grand i10 Asta,2017,27500,9748,Petrol,Dealer,Manual,First Owner
Volkswagen Polo 1.0 MPI Trendline,2012,13550,49000,Petrol,Dealer,Manual,First Owner
Hyundai Creta 1.6 CRDi SX Option,2018,74500,20694,Diesel,Dealer,Manual,First Owner
Hyundai Grand i10 Asta Option,2015,24500,31080,Petrol,Dealer,Manual,First Owner
Hyundai EON Era Plus,2014,13000,37605,Petrol,Dealer,Manual,First Owner
Hyundai Xcent 1.1 CRDi SX Option,2014,22750,55850,Diesel,Dealer,Manual,First Owner
Tata Nano Lx BSIV,2010,3750,58850,Petrol,Dealer,Manual,First Owner
Toyota Etios Cross 1.2L G,2015,21050,23839,Petrol,Dealer,Manual,First Owner
Maruti Swift DDiS LDI,2016,27500,54000,Diesel,Dealer,Manual,First Owner
Hyundai i10 Sportz 1.2 AT,2013,16500,38000,Petrol,Dealer,Automatic,First Owner
Volkswagen Vento 1.5 TDI Comfortline,2012,19500,45454,Diesel,Dealer,Manual,First Owner
Skoda Rapid 1.5 TDI AT Ambition,2015,29950,46957,Diesel,Dealer,Automatic,First Owner
Hyundai Getz GLE,2007,5500,60000,Petrol,Individual,Manual,Fourth & Above Owner
Renault KWID RXT Optional,2016,12500,25000,Petrol,Individual,Manual,First Owner
Mahindra Scorpio M2DI,2012,30000,110000,Diesel,Individual,Manual,Fourth & Above Owner
Ford Endeavour XLT TDCi 4X2,2008,14000,190000,Diesel,Individual,Manual,Second Owner
Audi Q3 35 TDI Quattro Technology,2018,135000,25000,Diesel,Individual,Automatic,First Owner
Mahindra Renault Logan 1.4 GLX Petrol,2008,4000,90000,Petrol,Individual,Manual,First Owner
Maruti Alto K10 VXI,2019,17500,5000,Petrol,Individual,Manual,First Owner
Maruti Swift VDI BSIV,2015,23750,60000,Diesel,Individual,Manual,First Owner
Audi A5 Sportback,2020,235000,1500,Diesel,Individual,Automatic,First Owner
Maruti Swift Dzire VDI,2018,25000,50000,Diesel,Individual,Manual,First Owner
Chevrolet Sail Hatchback 1.3 TCDi LT ABS,2014,12500,120000,Diesel,Individual,Manual,First Owner
Hyundai Accent CRDi,2005,5000,120000,Diesel,Individual,Manual,Second Owner
Maruti Alto K10 VXI Airbag,2019,17500,5000,Petrol,Individual,Manual,First Owner
BMW 7 Series Signature 730Ld,2014,200000,47000,Diesel,Individual,Automatic,First Owner
Toyota Camry 2.5 Hybrid,2017,95000,20000,Petrol,Individual,Automatic,First Owner
Hyundai Santro Xing XG,2005,4750,120000,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 CRDi Sportz,2015,20499.95,58000,Diesel,Individual,Manual,First Owner
Mahindra XUV500 W5 BSIV,2018,52500,35000,Diesel,Individual,Manual,First Owner
Maruti Alto K10 VXI,2017,16000,30000,Petrol,Individual,Manual,First Owner
Mahindra XUV300 W8 Option Diesel BSIV,2019,50000,10000,Diesel,Individual,Manual,First Owner
Toyota Innova Crysta 2.4 VX MT BSIV,2017,88500,25000,Diesel,Individual,Manual,First Owner
Mahindra Thar CRDe,2018,47500,20000,Diesel,Individual,Manual,First Owner
Maruti Swift Dzire ZDI,2018,37500,50000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,2014,11000,42000,Petrol,Individual,Manual,First Owner
Tata Hexa XM,2017,50000,50000,Diesel,Individual,Manual,First Owner
Honda Mobilio E i DTEC,2017,33000,116000,Diesel,Individual,Manual,First Owner
Maruti Ertiga ZDI,2015,35800,100000,Diesel,Individual,Manual,First Owner
Maruti Ciaz ZXi Plus,2015,33750,66000,Petrol,Individual,Manual,First Owner
Mahindra Scorpio LX,2010,19250,110000,Diesel,Individual,Manual,Third Owner
Fiat Grande Punto EVO 1.3 Dynamic,2014,16250,70000,Diesel,Individual,Manual,First Owner
Hyundai Creta 1.6 CRDi SX Option,2015,47500,60000,Diesel,Individual,Manual,First Owner
